feature,importance
v_3,0.15301197239977105
v_0,0.15149665116845432
v_12,0.12628941705339408
v_10,0.0749069581046977
v_8,0.06864182582862556
power,0.06365124602465665
v_6,0.05614170739625096
v_2,0.04545544065252253
v_11,0.038119893839295406
v_5,0.03786707294304578
v_4,0.0333088126567984
kilometer,0.03263867138016411
v_13,0.02533322274097344
regYear,0.023086791396965508
v_9,0.01970007036868494
car_age,0.01609490855852602
v_14,0.010820890668286289
bodyType,0.0056355680605932644
v_7,0.00430780493045179
fuelType,0.003444898119040292
v_1,0.003389915967393382
gearbox,0.003365178347442898
brand,0.0027003658261618747
notRepairedDamage,0.0005413833775032448
regionCode,4.933219030041951e-05
regMonth,0.0
model,0.0
creatYear,0.0
creatMonth,0.0
